universal-city,ユニバーサルシティ,ゆにばーさるしてぃ
matsue,松江,まつえ
shijokawaramachi,四条河原町,しじょうかわらまち
gojokawaramachi,五条河原町,ごじょうかわらまち
yokohama,横浜,よこはま
kamakura,鎌倉,かまくら
umeda,梅田,うめだ
hidatakayama,飛騨高山,ひだたかやま
hida-takayama,飛騨高山,ひだたかやま
toyama,富山,とやま
ise,伊勢,いせ
universalcity,ユニバーサルシティ,ゆにばーさるしてぃ
subwayshijokarasuma,地下鉄四条烏丸,ちかてつしじょうからすま
subwayshijikarasuma,地下鉄四条烏丸,ちかてつしじょうからすま
shijo-karasuma,四条烏丸,しじょうからすま
shijokarasuma,四条烏丸,しじょうからすま
kansai-international-airport,関西国際空港,かんくう
kansaiinternationalairport,関西国際空港,かんくう
kansai-airport, 関空,かんくう
kansaiairport, 関空,かんくう
kanku, 関空,かんくう
nijojomae,二条城前,にじょうじょうまえ
jingumarutamachi,神宮丸太町,じんぐうまるたまち
jingu-marutamachi,神宮丸太町,じんぐうまるたまち
higashiokayama,東岡山,ひがしおかやま
higashi-okayama,東岡山,ひがしおかやま
amanohashidate,天橋立,あまのはしだて
shinosaka,新大阪,しんおおさか
shin-osaka,新大阪,しんおおさか
imadegawa,今出川,いまでがわ
takatsuki,高槻,たかつき
katsuragawa,桂川,かつらがわ
katsura-gawa-river,桂川,かつらがわ
katsura-gawa,桂川,かつらがわ
amagasaki,尼崎,あまがさき
jr-amagasaki,JR尼崎,あまがさき
yamashina,山科,やましな
hiroshima,広島,ひろしま
sagaarashiyama,嵯峨嵐山,さがあらしやま
saga-arashiyama,嵯峨嵐山,さがあらしやま
ogotoonsen,おごと温泉,おごとおんせ
ogoto-onsen-hot-spring,おごと温泉,おごとおんせ
ogoto-onsen,おごと温泉,おごとおんせ
gionshijo,祇園四条,ぎおんしじょう
gion-shijo,祇園四条,ぎおんしじょう
nijojomae,二条城前,にじょうじょうまえ
gionshijo,祇園四条,ぎおんしじょう
tofuku-ji-temple,東福寺,とうふくじ
tofukuji,東福寺,とうふくじ
kawaramachi,河原町,かわらまち
kanazawa,金沢,かなざわ
tennoji-temple,天王寺,てんのうじ
tennoji,天王寺,てんのうじ
uzumasa,太秦,うずまさ
sapporo,札幌,さっぽろ
tsuruga,敦賀,つるが
fujieda,藤枝,ふじえだ
nagoya,名古屋,なごや
ashiya,芦屋,あしや
hakata,博多,はかた
higashiyama,東山,ひがしやま
higashiyama,東山,ひがしやま
osaka,大阪,おおさか
tsuge,柘植,つげ
shijo,四条,しじょう
gojo,五条,ごじょう
kyoto,京都,きょうと
tokyo,東京,とうきょう
inari,稲荷,いなり
sabae,鯖江,さばえ
sakai,堺,さかい
sakai-city,堺,さかい
nara,奈良,なら
kobe,神戸,こうべ
toji,東寺,とうじ
to-ji-temple,東寺,とうじ
uji,宇治,うじ
usj,ユニバーサルスタジオジャパン,ゆにばーさるすたじおじゃぱん
rokujizo,六地蔵,ろくじぞう
ishida, 石田,いしだ
daigo,醍醐,だいご
ono, 小野,おの
nagitsuji,椥辻,なぎつじ
higashino, 東野,ひがしの
yamashina, 山科,やましな
sasayamaguchi,篠山口,ささやまぐち
misasagi, 御陵,みささぎ
keage,蹴上,けあげ
higasiyama, 東山,ひがしやま
sanjokeihan, 三条京阪,さんじょうけいはん
sanjo-keihan, 三条京阪,さんじょうけいはん
kyotoshiyakushomae, 京都市役所前,きょうとしやくしょまえ
nijo, 二条,にじょう
nishioojioike,西大路御池,にしおおじおいけ
nishioji-oike,西大路御池,にしおおじおいけ
uzumasatenjingawa, 太秦天神川,うずまさてんりゅうがわ
uzumasa-tenjingawa-river, 太秦天神川,うずまさてんりゅうがわ
uzumasa-tenjingawa, 太秦天神川,うずまさてんりゅうがわ
kokusaikaikan, 国際会館,こくさいかいかん
matsugasaki,松ヶ崎,まつがさき
kitaoji, 北大路,きたおおじ
kuramaguchi, 鞍馬口,くらまぐち
imadegawa, 今出川,いまでがわ
marutamachi, 丸太町,まるたまち
karasumaoike, 烏丸御池,からすまおいけ
karasuma-oike, 烏丸御池,からすまおいけ
kujo, 九条,くじょう
jujo, 十条,じゅうじょう
kuinabashi,くいな橋,くいなばし
kuina-bridge,くいな橋,くいなばし
takeda, 竹田,たけだ
fushimi, 伏見,ふしみ
tanbaguchi, 丹波口,たんばぐち
yasehieizanguchi, 八瀬比叡山口,やせひえいざんぐち
yase-hieizanguchi, 八瀬比叡山口,やせひえいざんぐち
hanazono, 花園,はなぞの
omuroninnaji,御室仁和寺,おむろにんなじ
omuro-ninna-ji-temple,御室仁和寺,おむろにんなじ
omuro-ninna-ji,御室仁和寺,おむろにんなじ
kamitobaguchi,上鳥羽口,かみとばぐち
obaku,黄檗,おうばく
chushojima,中書島,ちゅうしょじま
kitayama,北山,きたやま